,Date,India,US,UK,India Daily New Cases,US Daily New Cases,UK Daily New Cases
0,12/8/20,32080,224492,12281,32080,224492,12281
1,12/9/20,63601,447031,28859,31521,222539,16578
2,12/10/20,92974,678546,49823,29373,231515,20964
3,12/11/20,123005,918523,71495,30031,239977,21672
4,12/12/20,153259,1136108,92996,30254,217585,21501
5,12/13/20,180330,1323811,111443,27071,187703,18447
6,12/14/20,202395,1518632,131706,22065,194821,20263
7,12/15/20,228777,1727638,150156,26382,209006,18450
8,12/16/20,252787,1974338,175317,24010,246700,25161
9,12/17/20,275677,2214063,210700,22890,239725,35383
10,12/18/20,300829,2466032,239207,25152,251969,28507
11,12/19/20,327453,2657938,266259,26624,191906,27052
12,12/20/20,351790,2845757,302187,24337,187819,35928
13,12/21/20,371346,3044806,335551,19556,199049,33364
14,12/22/20,395296,3242817,372354,23950,198011,36803
15,12/23/20,420008,3472435,411591,24712,229618,39237
16,12/24/20,443075,3666639,450627,23067,194204,39036
17,12/25/20,465348,3764285,483352,22273,97646,32725
18,12/26/20,484080,3990573,518045,18732,226288,34693
19,12/27/20,504101,4146208,550385,20021,155635,32340
20,12/28/20,520533,4320842,591770,16432,174634,41385
21,12/29/20,541082,4521094,644905,20549,200252,53135
22,12/30/20,562904,4754778,694928,21822,233684,50023
23,12/31/20,562904,4990445,750820,0,235667,55892
24,1/1/21,582939,5144073,804105,20035,153628,53285
25,1/2/21,620195,5444383,861829,37256,300310,57724
26,1/3/21,636699,5653129,916819,16504,208746,54990
27,1/4/21,653074,5837411,975603,16375,184282,58784
28,1/5/21,671162,6072522,1036519,18088,235111,60916
29,1/6/21,691508,6327966,1098841,20346,255444,62322
30,1/7/21,709647,6606256,1151459,18139,278290,52618
31,1/8/21,709647,6901471,1219512,0,295215,68053
32,1/9/21,746514,7162166,1279449,36867,260695,59937
33,1/10/21,762825,7375414,1334389,16311,213248,54940
34,1/11/21,775409,7590408,1380558,12584,214994,46169
35,1/12/21,791377,7817328,1426091,15968,226920,45533
36,1/13/21,808323,8047690,1473616,16946,230362,47525
37,1/14/21,823913,8283397,1522298,15590,235707,48682
38,1/15/21,839071,8526128,1578059,15158,242731,55761
39,1/16/21,854215,8727808,1619401,15144,201680,41342
40,1/17/21,868003,8905590,1657999,13788,177782,38598
41,1/18/21,878053,9049006,1695534,10050,143416,37535
42,1/19/21,891869,9225712,1728889,13816,176706,33355
43,1/20/21,907113,9408948,1767794,15244,183236,38905
44,1/21/21,921658,9602766,1805686,14545,193818,37892
45,1/22/21,935914,9793519,1845947,14256,190753,40261
46,1/23/21,950763,9964132,1879499,14849,170613,33552
47,1/24/21,963966,10095194,1909503,13203,131062,30004
48,1/25/21,973068,10247163,1931698,9102,151969,22195
49,1/26/21,985757,10394703,1951786,12689,147540,20088
50,1/27/21,997423,10548648,1977094,11666,153945,25308
51,1/28/21,1016278,10717258,2005774,18855,168610,28680
52,1/29/21,1029360,10883826,2034853,13082,166568,29079
53,1/30/21,1042404,11026138,2058128,13044,142312,23275
54,1/31/21,1053840,11138135,2079216,11436,111997,21088
55,2/1/21,1062475,11273337,2097823,8635,135202,18607
56,2/2/21,1073514,11388670,2114663,11039,115333,16840
57,2/3/21,1086413,11510311,2133865,12899,121641,19202
58,2/4/21,1098821,11634286,2154499,12408,123975,20634
59,2/5/21,1110534,11768683,2173613,11713,134397,19114
60,2/6/21,1122593,11872670,2191875,12059,103987,18262
61,2/7/21,1134424,11962318,2207720,11831,89648,15845
62,2/8/21,1143534,12052633,2221824,9110,90315,14104
63,2/9/21,1154601,12148265,2234188,11067,95632,12364
64,2/10/21,1167524,12243442,2247201,12923,95177,13013
65,2/11/21,1176833,12349202,2260695,9309,105760,13494
66,2/12/21,1188976,12448840,2275839,12143,99638,15144
67,2/13/21,1201170,12535962,2289146,12194,87122,13307
68,2/14/21,1212819,12600983,2300118,11649,65021,10972
69,2/15/21,1221940,12655169,2309883,9121,54186,9765
70,2/16/21,1233550,12717888,2320508,11610,62719,10625
71,2/17/21,1246431,12788006,2333225,12881,70118,12717
72,2/18/21,1259624,12857930,2345282,13193,69924,12057
73,2/19/21,1273617,12937227,2357309,13993,79297,12027
74,2/20/21,1287881,13008752,2367715,14264,71525,10406
75,2/21/21,1302080,13065832,2377549,14199,57080,9834
76,2/22/21,1312664,13122052,2388190,10584,56220,10641
77,2/23/21,1326406,13194315,2396679,13742,72263,8489
78,2/24/21,1343144,13269047,2406617,16738,74732,9938
79,2/25/21,1359721,13346548,2416602,16577,77501,9985
80,2/26/21,1376209,13423894,2425125,16488,77346,8523
81,2/27/21,1392961,13488469,2432559,16752,64575,7434
82,2/28/21,1408471,13539826,2438594,15510,51357,6035
83,3/1/21,1420757,13598055,2444049,12286,58229,5455
84,3/2/21,1435746,13655115,2450440,14989,57060,6391
85,3/3/21,1453153,13722308,2456825,17407,67193,6385
86,3/4/21,1469991,13790359,2463398,16838,68051,6573
87,3/5/21,1488275,13856810,2469344,18284,66451,5946
88,3/6/21,1507029,13915013,2475383,18754,58203,6039
89,3/7/21,1525628,13956020,2480560,18599,41007,5177
90,3/8/21,1541016,14001056,2485272,15388,45036,4712
91,3/9/21,1558937,14058698,2491038,17921,57642,5766
92,3/10/21,1581791,14116618,2496964,22854,57920,5926
93,3/11/21,1605076,14179092,2503717,23285,62474,6753
94,3/12/21,1629958,14240615,2510326,24882,61523,6609
95,3/13/21,1655278,14293547,2515860,25320,52932,5534
96,3/14/21,1681569,14331768,2520478,26291,38221,4618
97,3/15/21,1706061,14388434,2525567,24492,56666,5089
98,3/16/21,1734964,14442391,2530861,28903,53957,5294
99,3/17/21,1770835,14501527,2536619,35871,59136,5758
100,3/18/21,1810561,14562065,2542922,39726,60538,6303
101,3/19/21,1851514,14623694,2547724,40953,61629,4802
102,3/20/21,1895360,14679068,2553311,43846,55374,5587
103,3/21/21,1942311,14712836,2558623,46951,33768,5312
104,3/22/21,1983026,14764429,2563965,40715,51593,5342
105,3/23/21,2030288,14818032,2569344,47262,53603,5379
106,3/24/21,2083764,14904992,2574948,53476,86960,5604
107,3/25/21,2142882,14972457,2581168,59118,67465,6220
108,3/26/21,2205140,15049778,2587355,62258,77321,6187
109,3/27/21,2267854,15112478,2591220,62714,62700,3865
110,3/28/21,2335874,15155575,2595082,68020,43097,3862
111,3/29/21,2392085,15225004,2599736,56211,69429,4654
112,3/30/21,2445565,15286253,2603776,53480,61249,4040
113,3/31/21,2517895,15353292,2607828,72330,67039,4052
114,4/1/21,2599361,15432337,2612306,81466,79045,4478
115,4/2/21,2688490,15502168,2615708,89129,69831,3402
116,4/3/21,2781739,15565235,2619131,93249,63067,3423
117,4/4/21,2885297,15600207,2621428,103558,34972,2297
118,4/5/21,2982279,15677886,2624190,96982,77679,2762
119,4/6/21,3098015,15738430,2626569,115736,60544,2379
120,4/7/21,3224804,15813468,2629331,126789,75038,2762
121,4/8/21,3356772,15893346,2632361,131968,79878,3030
122,4/9/21,3502156,15976044,2627501,145384,82698,-4860
123,4/10/21,3655035,16042579,2630085,152879,66535,2584
124,4/11/21,3823947,16088959,2631815,168912,46380,1730
125,4/12/21,3985683,16159189,2635383,161736,70230,3568
126,4/13/21,4170055,16237067,2637854,184372,77878,2471
127,4/14/21,4370794,16312442,2640345,200739,75375,2491
128,4/15/21,4588147,16386731,2643016,217353,74289,2671
129,4/16/21,4822839,16466722,2645772,234692,79991,2756
130,4/17/21,5084233,16519095,2647978,261394,52373,2206
131,4/18/21,5358035,16561113,2649860,273802,42018,1882
